request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_11,user_11,2025-05-03,travel,13110000,2025-06-12,false,"Does paying for the trip now leave enough for the rest of the month? I need to decide by 12 June 2025. I'm planning a family trip that costs IDR 13,110,000.",13110000.00,affordable_now,full_payment,2025-05-03:13110000,2025-05-03,none,Safe to pay now: IDR 13110000.00. Selected method: full_payment; the deterministic 90-day forecast preserves the IDR 34140600 minimum balance from a current available balance of IDR 63531795. Recurring expense of IDR 3165638.3 is included.
request_12,user_12,2026-04-05,education,65164,2026-06-20,false,"The professional course costs ZAR 65,164. Can I pay for the course before enrolment closes?",65164.00,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,Safe to pay now: ZAR 65164.00. Selected method: installments; the deterministic 90-day forecast preserves the ZAR 43200 minimum balance from a current available balance of ZAR 193089.89. Earliest safe full-payment date: 2026-04-05. Recurring expense of ZAR 11792 is included.
request_13,user_13,2024-03-07,family_transfer,941.6,2024-05-15,true,Can I complete this family transfer and still keep my minimum balance? I want to send EUR 941.60 to my family.,941.60,affordable_now,full_payment,2024-03-07:941.6,2024-03-07,none,Safe to pay now: EUR 941.60. Selected method: full_payment; the deterministic 90-day forecast preserves the EUR 1300 minimum balance from a current available balance of EUR 2789.52. Confirmed salary of EUR 1343.54 is included on 2024-03-15. Recurring expense of EUR 622.6 is included.
request_14,user_14,2025-08-04,debt_repayment,5414.2,2025-10-04,true,"I'm planning an extra loan payment of EUR 5,414.20. I need to complete it by 4 October 2025. Would paying this much toward the loan leave enough for the rest of the month?",0.00,not_affordable,not_recommended,none,,none,Safe to pay now: EUR 0.00. Selected method: not_recommended; no safe eligible payment plan was found while preserving the EUR 2200 minimum balance. Recurring expense of EUR 688.6 is included.
request_15,user_15,2026-01-06,investment,3685,2026-02-01,false,"How much can I invest now without affecting essential payments? I need to decide by 1 February 2026. I have an opportunity to invest EUR 3,685.",0.00,not_affordable,not_recommended,none,,none,Safe to pay now: EUR 0.00. Selected method: not_recommended; no safe eligible payment plan was found while preserving the EUR 1200 minimum balance. Recurring expense of EUR 435.6 is included.
request_16,user_16,2023-08-12,housing,122500,2023-10-11,true,"The landlord has asked for a deposit of INR 122,500. Can I pay the rental deposit by the requested date?",122500.00,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,Safe to pay now: INR 122500.00. Selected method: full_payment; the deterministic 90-day forecast preserves the INR 122400 minimum balance from a current available balance of INR 362370. Recurring expense of INR 57100 is included.
request_17,user_17,2026-03-01,emergency_expense,274600,2026-05-04,false,"What is the most I can put toward this repair right now? The latest estimate for the repair is INR 274,600.",252715.26,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,Safe to pay now: INR 252715.26. Selected method: installments; the deterministic 90-day forecast preserves the INR 166100 minimum balance from a current available balance of INR 550379.58. Earliest safe full-payment date: 2026-03-15. Confirmed salary of INR 206000 is included on 2026-03-15. Recurring expense of INR 49600 is included.
request_18,user_18,2026-07-07,other,3246.1,2026-09-15,false,"The annual plan comes to EUR 3,246.10. I need to complete it by 15 September 2026. Can I take the membership and still keep my minimum balance intact?",694.61,affordable_later,wait,2026-08-14:3246.1,2026-08-14,none,Safe to pay now: EUR 694.61. Selected method: wait; the deterministic 90-day forecast preserves the EUR 1400 minimum balance from a current available balance of EUR 2486. Earliest safe full-payment date: 2026-08-14. Recurring expense of EUR 167 is included.
request_19,user_19,2024-09-04,purchase,39660,2024-10-04,true,"Can I buy the laptop now without making next month's bills tight? I need to decide by 4 October 2024. I've been quoted INR 39,660 for the laptop.",39660.00,affordable_with_plan,installments,2024-09-04:20623.2|2024-10-02:20623.2,2024-09-04,none,Safe to pay now: INR 39660.00. Selected method: installments; the deterministic 90-day forecast preserves the INR 92800 minimum balance from a current available balance of INR 199545. Recurring expense of INR 36100 is included.
request_20,user_20,2026-02-07,travel,303700,2026-02-22,false,"I can book the family trip for INR 303,700. Would it be safer to book the trip now or wait until more money comes in?",24522.57,not_affordable,not_recommended,none,,none,Safe to pay now: INR 24522.57. Selected method: not_recommended; no safe eligible payment plan was found while preserving the INR 64500 minimum balance. Recurring expense of INR 8740 is included.
request_21,user_21,2026-04-03,education,1574.4,2026-04-14,false,"Is it safe to cover the full course fee by the deadline? Enrolment for the course comes to USD 1,574.40.",1574.40,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,Safe to pay now: USD 1574.40. Selected method: full_payment; the deterministic 90-day forecast preserves the USD 1800 minimum balance from a current available balance of USD 3911.35. Confirmed salary of USD 2256 is included on 2026-04-15. Recurring expense of USD 718.8 is included.
request_22,user_22,2024-12-05,family_transfer,731.5,2025-02-10,true,The transfer I have in mind is EUR 731.50. I need to complete it by 10 February 2025. Can I make the full transfer without falling short on my own bills?,534.12,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-16,none,Safe to pay now: EUR 534.12. Selected method: installments; the deterministic 90-day forecast preserves the EUR 500 minimum balance from a current available balance of EUR 1132.46. Earliest safe full-payment date: 2024-12-16. Recurring expense of EUR 178.2 is included.
request_23,user_23,2025-05-07,debt_repayment,38016,2025-07-15,false,"How much extra can I put toward the loan today? I need to decide by 15 July 2025. The additional loan payment would be ZAR 38,016.",11917.43,not_affordable,not_recommended,none,2025-07-17,none,Safe to pay now: ZAR 11917.43. Selected method: not_recommended; no safe eligible payment plan was found while preserving the ZAR 27000 minimum balance. Earliest safe full-payment date: 2025-07-17. Recurring expense of ZAR 15312 is included.
request_24,user_24,2026-01-04,investment,109600,2026-02-08,true,"I'm considering setting aside INR 109,600 for an investment. Would investing this amount leave my upcoming bills covered?",15770.47,not_affordable,not_recommended,none,,none,Safe to pay now: INR 15770.47. Selected method: not_recommended; no safe eligible payment plan was found while preserving the INR 51000 minimum balance. Recurring expense of INR 18600 is included.
request_25,user_25,2024-03-06,housing,60496000,2024-04-17,true,"Is the deposit affordable now, or do I need more time? I need IDR 60,496,000 for the rental deposit.",3789638.40,not_affordable,not_recommended,none,2024-05-18,none,Safe to pay now: IDR 3789638.40. Selected method: not_recommended; no safe eligible payment plan was found while preserving the IDR 23379100 minimum balance. Earliest safe full-payment date: 2024-05-18. Confirmed salary of IDR 28499994.00 is included on 2024-03-15. Recurring expense of IDR 6954000 is included.
